Linux 2.6.32-279.22.1.el6.x86_64 (Delta3.fbu.lab.emc.com) 	05/02/2013 	_x86_64_	(32 CPU)

01:53:01 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
01:53:13 PM    2    0.67    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.00
01:53:13 PM    3    0.67    0.00    0.67    0.00    0.00    0.00    0.00    0.00   98.66
01:53:13 PM    4    0.33    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.33
01:53:13 PM    5    0.33    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.34
01:53:13 PM    6    0.33    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.33
01:53:13 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:53:13 PM    8    1.00    0.00    0.67    0.00    0.00    0.00    0.00    0.00   98.33
01:53:13 PM    9    1.33    0.00    0.67    0.00    0.00    0.00    0.00    0.00   98.00
01:53:13 PM   10    0.67    0.00    0.67    0.00    0.00    0.00    0.00    0.00   98.67
01:53:13 PM   11    0.33    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.34
01:53:13 PM   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:53:13 PM   13    0.33    0.00    0.33    1.33    0.00    0.00    0.00    0.00   98.00
01:53:13 PM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:53:13 PM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:53:13 PM   16    0.67    0.00    0.33    0.67    0.00    0.00    0.00    0.00   98.33
01:53:13 PM   17    1.34    0.00    1.34    0.00    0.00    0.00    0.00    0.00   97.32
01:53:13 PM   18    0.66    0.00    1.33    0.00    0.00    0.00    0.00    0.00   98.01
01:53:13 PM   19    1.34    0.00    1.00    0.00    0.00    0.00    0.00    0.00   97.66
01:53:13 PM   20    0.67    0.00    0.67    0.00    0.00    0.00    0.00    0.00   98.67
01:53:13 PM   21    0.67    0.00    1.00    0.00    0.00    0.00    0.00    0.00   98.33
01:53:13 PM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:53:13 PM   23    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.67
01:53:13 PM   24    0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.67
01:53:13 PM   25    1.33    0.00    1.67    0.00    0.00    0.00    0.00    0.00   97.00
01:53:13 PM   26    1.00    0.00    1.34    0.00    0.00    0.00    0.00    0.00   97.66
01:53:13 PM   27    0.34    0.00    1.01    0.00    0.00    0.00    0.00    0.00   98.66
01:53:13 PM   28    1.00    0.00    1.33    0.00    0.00    0.00    0.00    0.00   97.67
01:53:13 PM   29    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.67
01:53:13 PM   30    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.67
01:53:13 PM   31    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.67

01:53:13 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
01:53:16 PM  all    1.78    0.00    1.06    1.28    0.00    0.01    0.00    0.00   95.86
01:53:16 PM    0   42.03    0.00   16.61   41.36    0.00    0.00    0.00    0.00    0.00
01:53:16 PM    1    1.00    0.00    1.34    0.00    0.00    0.00    0.00    0.00   97.66
01:53:16 PM    2    0.67    0.00    0.67    0.00    0.00    0.00    0.00    0.00   98.66
01:53:16 PM    3    0.33    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.33
01:53:16 PM    4    0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.67
01:53:16 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:53:16 PM    6    0.66    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.00
01:53:16 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:53:16 PM    8    1.99    0.00    1.00    0.00    0.00    0.00    0.00    0.00   97.01
01:53:16 PM    9    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   97.99
01:53:16 PM   10    0.33    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.33
01:53:16 PM   11    0.33    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.34
01:53:16 PM   12    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.67
01:53:16 PM   13    0.00    0.00    0.00    0.33    0.00    0.00    0.00    0.00   99.67
01:53:16 PM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:53:16 PM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:53:16 PM   16    0.67    0.00    0.33    0.33    0.00    0.00    0.00    0.00   98.67
01:53:16 PM   17    1.68    0.00    1.34    0.00    0.00    0.00    0.00    0.00   96.98
01:53:16 PM   18    1.33    0.00    1.67    0.00    0.00    0.00    0.00    0.00   97.00
01:53:16 PM   19    0.66    0.00    1.66    0.00    0.00    0.00    0.00    0.00   97.67
