procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  7      0 32258020 235524 24815208    0    0 335067 476034 13733 305587  9  7 63 22  0	
11 106      0 32254656 235532 24817672    0    0 898051 250653 19777 514491 14 15 26 45  0	
23  5      0 32245996 235540 24818068    0    0 1495029 64697 23823 726093 18 24 14 44  0	
 4  3      0 32242140 235544 24818072    0    0 959459 238088 22730 577390 13 17 30 41  0	
 8  9      0 32235288 235552 24818068    0    0 512752 373407 22797 461235  9  9 39 42  0	
13 12      0 32229984 235552 24818076    0    0 623680 348311 23095 488847 10 10 32 47  0	
 1 11      0 32245024 235560 24818080    0    0 480299 199004 18069 284145 10  7 48 36  0	
 4  7      0 32246652 235560 24820452    0    0 374659 376649 18851 364824  9  8 52 31  0	
21 112      0 32245188 235572 24823308    0    0 330107 429808 14784 331328  9  7 54 29  0	
 8 65      0 32239120 235572 24827284    0    0 435557 334158 13679 304320 10  8 60 22  0	
42 18      0 32233756 235584 24832328    0    0 577640 287518 14781 302148 12  9 38 41  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  3      0 32229664 235588 24835884    0    0 468464 338692 14222 310465 11  8 51 30  0	
 2 25      0 32223952 235596 24839744    0    0 441995 357256 15191 338560 11  9 46 34  0	
 4  3      0 32220860 235600 24843372    0    0 339624 399572 14630 317724  8  7 46 38  0	
 1 12      0 32217396 235604 24845700    0    0 355928 383830 14735 309172  9  7 47 36  0	
 1 48      0 32214544 235608 24847792    0    0 756968 273054 18321 455920 12 13 15 60  0	
 4 67      0 32213048 235612 24848272    0    0 955395 220814 19596 532770 13 16 17 54  0	
16 102      0 32214600 235616 24848276    0    0 1245320 158574 22501 656142 15 20 10 55  0	
27 79      0 32213880 235620 24848400    0    0 1301549 134025 22600 676428 16 21 11 52  0	
31 81      0 32210152 235620 24851004    0    0 912685 232946 20173 523371 14 15  7 63  0	
 2  2      0 32258884 235632 24852924    0    0 364659 352862 15896 303395 12  7 21 61  0	
